task,best_optimizer,task_family,score,mean_best_val_loss,mean_best_val_accuracy
breast_cancer_mlp,rmsprop,neural,0.984375,0.08419517311267555,0.984375
oscillatory_valley,rmsprop,stress,0.01599481701850891,0.01599481701850891,
